ESTANTE,CATEGORIA,DESCRIPCION,MODELO,CANTIDAD,ESTADO,CONDICION,OBSERVACIONES
A1,Periférico,Tarjeta SD,,38,DISPONIBLE,BUENO,Taller digital Pablo Mendoza
A1,FPGA,FPGA,,2,DISPONIBLE,BUENO,Taller digital Pablo Mendoza
A1,Periférico,Cables USB A-USB Micro B,,3,DISPONIBLE,BUENO,Taller digital Pablo Mendoza
A1,Periférico,Cables BNC-BNC,,72,DISPONIBLE,BUENO,
A1,Circuito Integrado,2-input NAND,7400,63,DISPONIBLE,BUENO,
A1,Circuito Integrado,2-input NAND open collector,7401,0,DISPONIBLE,BUENO,
A1,Circuito Integrado,2-input NOR,7402,163,DISPONIBLE,BUENO,
A1,Circuito Integrado,2-input NAND open collector Out,7403,4,DISPONIBLE,BUENO,
A1,Circuito Integrado,Hex Inverter,7404,111,DISPONIBLE,BUENO,
A1,Circuito Integrado,Hex inverter open collector,7405,41,DISPONIBLE,BUENO,
A1,Circuito Integrado,Hex inverter buffer/driver 30V open collector,7406,173,DISPONIBLE,BUENO,
A1,Circuito Integrado,Hex buffer/driver 30V open collector,7407,6,DISPONIBLE,BUENO,
A1,Circuito Integrado,2-input AND,7408,0,DISPONIBLE,BUENO,
A1,Circuito Integrado,2-input AND open collector,7409,2,DISPONIBLE,BUENO,
A1,Circuito Integrado,3-input NAND,7410,107,DISPONIBLE,BUENO,
A1,Circuito Integrado,3-input AND,7411,2,DISPONIBLE,BUENO,
A1,Circuito Integrado,3-input NAND open collector,7412,16,DISPONIBLE,BUENO,
A1,Circuito Integrado,Dual Schmitt trigger 4-input NAND,7413,37,DISPONIBLE,BUENO,
A1,Circuito Integrado,Hex Schmitt trigger inverter,7414,157,DISPONIBLE,BUENO,
A1,Circuito Integrado,3-input AND open collector,7415,1,DISPONIBLE,BUENO,
A1,Circuito Integrado,Hex inverter Buffer/Driver open collector,7416,10,DISPONIBLE,BUENO,
A1,Circuito Integrado,4-input NAND,7420,167,DISPONIBLE,BUENO,
A1,Circuito Integrado,4-input AND,7421,88,DISPONIBLE,BUENO,
A1,Circuito Integrado,4-input NAND open collector,7422,4,DISPONIBLE,BUENO,
A1,Circuito Integrado,4-input positive NOR,7425,24,DISPONIBLE,BUENO,
A1,Circuito Integrado,2-input NAND open collector,7426,43,DISPONIBLE,BUENO,
A1,Circuito Integrado,Triple 3-input NOR gate,7427,20,DISPONIBLE,BUENO,
A1,Circuito Integrado,8-input NAND gate,7430,134,DISPONIBLE,BUENO,
A1,Circuito Integrado,Quad 2-input OR Gate,7432,113,DISPONIBLE,BUENO,
A1,Circuito Integrado,Quad 2-input NOR Buffer with Open Collector Out-Puts,7433,9,DISPONIBLE,BUENO,
A1,Circuito Integrado,Quad 2-input NAND buffer,7437,46,DISPONIBLE,BUENO,
A1,Circuito Integrado,Quad 2-input NAND buffer with open colllector out-puts,7438,24,DISPONIBLE,BUENO,
A1,Circuito Integrado,Dual 4-input NAND buffer,7440,15,DISPONIBLE,BUENO,
A1,Circuito Integrado,BCD to decimal decoder,7442,34,DISPONIBLE,BUENO,
A1,Circuito Integrado,BCD to 7-segment decoder/driver with 30V open collector outputs,7446,2,DISPONIBLE,BUENO,
A1,Circuito Integrado,BCD to 7-segment decoder/driver with 15V open collector outputs,7447,179,DISPONIBLE,BUENO,
A1,Circuito Integrado,BCD to 7-segment Decoder/Driver with Internal Pullups,7448,95,DISPONIBLE,BUENO,
A1,Circuito Integrado,4-Wide 2-Input AND-OR-INVERT Gate,7454,30,DISPONIBLE,BUENO,
A1,Circuito Integrado,AND-Gated Positive Edge trigged Flip-Flop w/ preset & clear,7470,2,DISPONIBLE,BUENO,
A1,Circuito Integrado,AND-gate J-K master-slave flip-flop w/ preset & clear,7472,8,DISPONIBLE,BUENO,
A1,Circuito Integrado,Dual J-K flip-flop w/ clear,7473,171,DISPONIBLE,BUENO,
A1,Circuito Integrado,Dual D positive Edge Triggered Flip-Flop w/ preset & clear,7474,157,DISPONIBLE,BUENO,
A1,Circuito Integrado,4-bit bistable latch,7475,16,DISPONIBLE,BUENO,
A1,Circuito Integrado,Dual J-k Flip-Flop w/ preset & clear,7476,6,DISPONIBLE,BUENO,
A1,Circuito Integrado,4-bit Full Adder,7483,157,DISPONIBLE,BUENO,
A1,Circuito Integrado,4-Line to 16-Line Decoders/Demultiplexers,74154,1,DISPONIBLE,BUENO,
A1,Circuito Integrado,Dual 2-Line to 4-Line Decoder/Demultiplexer w/ Open Collector,74156,7,DISPONIBLE,BUENO,
A1,Circuito Integrado,"Quad 2-Line to 1-Line Data Selector/Multiplexer, Noninverting",74157,39,DISPONIBLE,BUENO,
A1,Circuito Integrado,4-Line to 16-Line Decider/Demultiplexer with Open Collector,74159,38,DISPONIBLE,BUENO,
A1,Circuito Integrado,Syncrhronous 4-bit decade counter with asynchronous clear,74160,78,DISPONIBLE,BUENO,
A1,Circuito Integrado,Syncrhronous 4-bit binary counter with asynchronous clear,74161,87,DISPONIBLE,BUENO,
A1,Circuito Integrado,Synchronous 4-bit Binary Counter with Synchronous Clear,74163,179,DISPONIBLE,BUENO,
A1,Circuito Integrado,8-bit parallel-out serial shift register with asynchronous clear,74164,33,DISPONIBLE,BUENO,
A1,Circuito Integrado,"8-bit serial shift register, parallel load, complementay outputs",74165,133,DISPONIBLE,BUENO,
A1,Circuito Integrado,8-bit Shift Register,74166,75,DISPONIBLE,BUENO,
A1,Circuito Integrado,Synchronous 4-bit up/down binary counter,74169,98,DISPONIBLE,BUENO,
A1,Circuito Integrado,4 by 4 Reg File w/ Open Collector,74170,31,DISPONIBLE,BUENO,
A1,Circuito Integrado,Quad D flip/flop w/ 3 state outputs,74173,15,DISPONIBLE,BUENO,
A1,Circuito Integrado,Hex D flip-flop w/ common clear,74174,64,DISPONIBLE,BUENO,
A1,Circuito Integrado,Quad D edge-triggered flip-flop w/ complementary outputs and asynchronous clear,74175,12,DISPONIBLE,BUENO,
A1,Circuito Integrado,9-bit Odd/Even Parity Generator and Checker,74180,29,DISPONIBLE,BUENO,
A1,Circuito Integrado,4-bit arithmetic logic unit and function generator,74181,157,DISPONIBLE,BUENO,
A1,Circuito Integrado,64-bit (16x4) RAM with Inverting Three-State Outputs,74189,25,DISPONIBLE,BUENO,
A1,Circuito Integrado,Synchronous Up/Down Decade Counter,74190,74,DISPONIBLE,BUENO,
A1,Circuito Integrado,Synchronous Up/Down Binary Counter,74191,78,DISPONIBLE,BUENO,
A1,Circuito Integrado,Synchronous Up/Down Decade Counter w/ clear,74192,14,DISPONIBLE,BUENO,
A1,Circuito Integrado,Synchronous Up/Down Binary Counter w/ clear,74193,48,DISPONIBLE,BUENO,
A1,Circuito Integrado,4-bit bidirectional universal shift register,74194,16,DISPONIBLE,BUENO,
A1,Circuito Integrado,4-bit Parallel-Access Shift Register,74195,93,DISPONIBLE,BUENO,
A1,Circuito Integrado,8-bit bidirectional universal shift register,74198,0,DISPONIBLE,BUENO,
A1,Circuito Integrado,8-bit bidirectional universal shift register with J-Not-K serial inputs,74199,0,DISPONIBLE,BUENO,
A1,Circuito Integrado,Quad bus transceiver with inverted trhee-state outputws,74242,22,DISPONIBLE,BUENO,
A1,Circuito Integrado,Octal buffer with noninverted three-state outputs,74244,241,DISPONIBLE,BUENO,
A1,Circuito Integrado,Octal bus transceiver with noninverted three-state outputs,74245,89,DISPONIBLE,BUENO,
A1,Circuito Integrado,8-line to 1 -line Data Selector/Multiplexer with Three-State Outputs,74251,85,DISPONIBLE,BUENO,
A1,Circuito Integrado,Dual 4-lina to 1-line Data Selector/Multiplexer with Three-State Outputs,74253,44,DISPONIBLE,BUENO,
A1,Circuito Integrado,Quad 2-line to 1-line data selector/multiplexer with noninverted three-state outputs,74257,49,DISPONIBLE,BUENO,
A1,Circuito Integrado,Quad 2-line to 1-line data selector/multiplexer with inverted three-state outputs,74258,39,DISPONIBLE,BUENO,
A1,Circuito Integrado,8-bit addressable latch,74259,13,DISPONIBLE,BUENO,
A1,Circuito Integrado,Dual 5-input NOR gate,74260,34,DISPONIBLE,BUENO,
A1,Circuito Integrado,Quad 2-input exclusive-NOR gate with open collector outputs,74266,24,DISPONIBLE,BUENO,
A1,Circuito Integrado,8-bit register with reset,74273,30,DISPONIBLE,BUENO,
A1,Periférico,Cables BNC Prestamos a Profesores,,63,DISPONIBLE,BUENO,21 bolsas para prestar a profesores
A1,Periférico,Cables BNC Prestamos a Estudiantes,,14,DISPONIBLE,BUENO,5 bolsas para prestar a estudiantes
A1,Periférico,Pmod ALS,,38,DISPONIBLE,BUENO,Taller digital Pablo Mendoza
A1,Periférico,Pmod Pantalla LCD,,17,DISPONIBLE,BUENO,Caja FPGA Pablo y Jorge
A1,Periférico,Pmod MicroSD,,38,DISPONIBLE,BUENO,Taller digital Pablo Mendoza
A1,Periférico,Tarjeta SD,,38,DISPONIBLE,BUENO,Taller digital Pablo Mendoza
A1,FPGA,FPGA,,2,DISPONIBLE,BUENO,Taller digital Pablo Mendoza
A1,Periférico,Cables USB A-USB Micro B,,3,DISPONIBLE,BUENO,Taller digital Pablo Mendoza
A2,Circuito Integrado,8-Bit Digital-to-Analog Converters,DAC0800,133,DISPONIBLE,BUENO,
A2,Circuito Integrado,8-Bit D/A Converter,DAC0808,67,DISPONIBLE,BUENO,
A2,Circuito Integrado,"8-Bit ?P Compatible, Double-Buffered D to A Converters",DAC0831,9,DISPONIBLE,BUENO,
A2,Circuito Integrado,"12-Bit, mP Compatible,Double-Buffered D to A Converters",DAC1222,34,DISPONIBLE,BUENO,
A2,Circuito Integrado,12-bit Binary Multiplying D/A Convertor,DAC1230,15,DISPONIBLE,BUENO,
