ACTIVOTEC,ESTANTE,CATEGORIA,DESCRIPCION,MARCA,MODELO,SERIE,CANTIDAD,CONDICION,ESTADO,OBSERVACIONES
29663,D,generador de funciones,Generador de Funciones Goldstar FG-20026,Goldstar,FG-20026,,1,BUENO,DISPONIBLE,
29664,D,generador de funciones,Generador de Funciones Goldstar FG-20027,Goldstar,FG-20027,,1,BUENO,DISPONIBLE,
29665,D,generador de funciones,Generador de Funciones Goldstar FG-20020,Goldstar,FG-20020,,1,BUENO,DISPONIBLE,
29666,D,generador de funciones,Generador de Funciones Goldstar FG-20024,Goldstar,FG-20024,,1,BUENO,DISPONIBLE,
35498,D,osciloscopio,Osciloscopio Multimetro Digital Tektronik TDS 3012,Tektronik,TDS 3012,,1,BUENO,DISPONIBLE,Trae tapa
35501,C,otros,Fuente de carga activa FAGTO FA-2300,FAGTO,FA-2300,,1,BUENO,DISPONIBLE,
35504,C,multimetro,Multimetro Digital Agilent 34401A,Agilent,34401A,,1,BUENO,DISPONIBLE,
35507,B,lcr,LCR Zentech 100,Zentech,100,,1,BUENO,DISPONIBLE,
35509,E,otros,Universal Counter Agilent 53131A,Agilent,53131A,,1,BUENO,DISPONIBLE,
39264,D,osciloscopio,Osciloscopio Agilent DSO3062A,Agilent,DSO3062A,,1,BUENO,DISPONIBLE,
39266,D,osciloscopio,Osciloscopio Agilent DSO3062A,Agilent,DSO3062A,,1,BUENO,DISPONIBLE,
39267,D,osciloscopio,Osciloscopio Agilent DSO3062A,Agilent,DSO3062A,,1,BUENO,DISPONIBLE,
39268,D,osciloscopio,Osciloscopio Agilent DSO3062A,Agilent,DSO3062A,,1,BUENO,DISPONIBLE,
39269,D,osciloscopio,Osciloscopio Agilent DSO3062A,Agilent,DSO3062A,,1,BUENO,DISPONIBLE,
39270,D,osciloscopio,Osciloscopio Agilent DSO3062A,Agilent,DSO3062A,,1,BUENO,DISPONIBLE,
39273,D,osciloscopio,Osciloscopio Agilent DSO3062A,Agilent,DSO3062A,,1,BUENO,DISPONIBLE,
39274,D,osciloscopio,Osciloscopio Agilent DSO3062A,Agilent ,DSO3062A,,1,BUENO,DISPONIBLE,
39275,D,osciloscopio,Agilent DSO3062A,Agilent ,DSO3062A,,1,BUENO,DISPONIBLE,
39276,D,osciloscopio,Agilent DSO3062A,Agilent ,DSO3062A,,1,BUENO,DISPONIBLE,
48401,D,osciloscopio,Osciloscopio EZ DS-1084,EZ Digital,DS-1084,,1,BUENO,DISPONIBLE,
48402,D,osciloscopio,Osciloscopio EZ DS-1087,EZ Digital,DS-1087,,1,BUENO,DISPONIBLE,
48403,D,osciloscopio,Osciloscopio EZ DS-1082,EZ Digital,DS-1082,,1,BUENO,DISPONIBLE,
48404,D,osciloscopio,Osciloscopio EZ DS-1086,EZ Digital,DS-1086,,1,BUENO,DISPONIBLE,
48405,D,osciloscopio,Osciloscopio EZ DS-1083,EZ Digital,DS-1083,,1,BUENO,DISPONIBLE,
48406,D,osciloscopio,Osciloscopio EZ DS-1088,EZ Digital,DS-1088,,1,BUENO,DISPONIBLE,
48407,D,osciloscopio,Osciloscopio EZ DS-1085,EZ Digital,DS-1085,,1,BUENO,DISPONIBLE,
48408,D,osciloscopio,Osciloscopio EZ DS-1090,EZ Digital,DS-1090,,1,BUENO,DISPONIBLE,
48409,D,osciloscopio,Osciloscopio EZ DS-1080,EZ Digital,DS-1080,,1,BUENO,DISPONIBLE,
48410,D,osciloscopio,Osciloscopio EZ DS-1089,EZ Digital,DS-1089,,1,BUENO,DISPONIBLE,
48416,D,osciloscopio,Osciloscopio EZ DS-1081,EZ Digital,DS-1081,,1,BUENO,DISPONIBLE,
48417,C,generador de funciones,Generador de Funciones EZ DM-441B,EZ Digital,DM-441B,,1,BUENO,DISPONIBLE,
48418,C,generador de funciones,Generador de Funciones EZ DM-441B,EZ Digital,DM-441B,,1,BUENO,DISPONIBLE,
48420,C,generador de funciones,Generador de Funciones EZ DM-441B,EZ Digital,DM-441B,,1,BUENO,DISPONIBLE,
48421,C,generador de funciones,Generador de Funciones EZ DM-441B,EZ Digital,DM-441B,,1,BUENO,DISPONIBLE,
48422,C,generador de funciones,Generador de Funciones EZ DM-441B,EZ Digital,DM-441B,,1,BUENO,DISPONIBLE,
48423,C,generador de funciones,Generador de Funciones EZ DM-441B,EZ Digital,DM-441B,,1,BUENO,DISPONIBLE,
48424,C,generador de funciones,Generador de Funciones EZ DM-441B,EZ Digital,DM-441B,,1,BUENO,DISPONIBLE,
48426,C,generador de funciones,Generador de Funciones EZ DM-441B,EZ Digital,DM-441B,,1,BUENO,DISPONIBLE,
48428,C,generador de funciones,Generador de Funciones EZ FG-7005C,EZ Digital,FG-7005C,,1,BUENO,DISPONIBLE,
48429,C,generador de funciones,Generador de Funciones EZ FG-7005C,EZ Digital,FG-7005C,,1,BUENO,DISPONIBLE,
48430,C,generador de funciones,Generador de Funciones EZ FG-7005C,EZ Digital,FG-7005C,,1,BUENO,DISPONIBLE,
